Segment,Age,AGENT_FIRST_NAME,AGENT_LAST_NAME,AGENT_DOB,row_count,NPN,LICENSE_NUMBER,LICENSE_TYPE,BROKERDEALER_NAME,QUALIFICATION,CITY,STATE_REGISTERED_ARRAY,NUM_STATE_REGISTERED,EDUCATION,GENDER,HOUSE_OWNERSHIP,MAPPED_CUST_ID,MARITAL_STATUS,NO_OF_CHILDRENS,NO_OF_DEPENDENTS,OCCUPATION,POSTAL_CODE,PURCHASE_HABITS_APPAREL,PURCHASE_HABITS_COMPUTERS,PURCHASE_HABITS_FITNESS,PURCHASE_HABITS_OTHERS,PURCHASE_HABITS_TRAVEL,max,REPCRD,BDFIRMCRD,INDEPENDENT_CONTRACTOR_FLAG,AUM_SELFREPORTED,AGENT_TENURE,NO_OF_UNIQUE_POLICIES_SOLD_LAST_12_MONTHS,label,NPS_FEEDBACK,NPS_SCORE,AGENT_ID,MEMBERSHIP_STATUS_DATE,AGENT_MEMBERSHIP_PROGRAM_STATUS,CHANNEL,COMPLAINTS_LAST_12_MONTHS,COMPLAINT_CATEGORY,PREMIUM_AMOUNT
Independent Agents,47,RICARDO,ASTACIO-FELIX,248832000000,1,16464112,2054837,General Lines Agent,"[""James G Parker Insurance Associates""]","Life, Accident, Health & HMO",FREEHOLD,"[""CA"",""VA""]",2,DOCTORATE,M,OWN,373042840,SINGLE,2,0,SERVICE,077288308,1,1,1,1,0,state,136149,60113,1,21906084,7.2,1,Detractor,Unexpected policy lapses due to hidden rules.,1,373042840,1647907200000,Visited,Event,6,Policy,3921
Independent Agents,53,MARILYN,CALDWELL,63849600000,1,1233731,1133143,General Lines Agent,"[""Home Services Insurance""]","Life, Accident, Health & HMO",ROYSE CITY,"[""OK"",""IA""]",2,DOCTORATE,M,MORTGAGE,472848058,SINGLE,1,0,BROKER,75189,1,1,0,1,1,state,882895,72797,1,8000854,6.1,4,Detractor,No update provided despite sending all relevant documents.,2,472848058,1572739200000,Visited,Email Non Nurture,6,Claims,3969
Independent Agents,48,LYNELL,RICHTER,239587200000,1,17363166,1939761,General Lines Agent,"[""Dean & Draper Insurance Agency LP""]",Property and Casualty,BRYAN,"[""ME""]",1,MASTER,F,OWN,488440195,MARRIED,1,4,MANAGER,778084730,1,1,0,0,0,state,503755,23715,1,2000498,1.4,3,Detractor,Coverage for pre-existing conditions turned out to be minimal.,4,488440195,1765411200000,Visited,Search,0,,3714
Independent Agents,39,ANDREA,BARRY,512870400000,1,21005074,3110672,Adjuster,"[""Lawley Insurance""]",Adjuster - P&C,WOODSTOCK,"[""IN"",""DE"",""CT"",""MS""]",4,ASSOCIATE,F,OTHER,527023348,MARRIED,2,2,ADJUSTER,30189,0,0,1,0,1,state,581044,48826,,31103768,12.8,7,Passive,"Policy is new, will have to wait and see about claims.",8,527023348,1759363200000,Attended,Web Content,3,Claims,4492
Independent Agents,33,BRET,HOLT,704678400000,1,21247693,3204062,General Lines Agent,"[""INSURICA Insurance Services LLC""]","Life, Accident, Health & HMO",PORTLAND,"[""SD"",""MO"",""LA""]",3,ASSOCIATE,F,OWN,545288810,DIVORCED,0,4,SERVICE,78374,0,1,0,0,0,state,795032,47464,,0,7.3,6,Detractor,Difficult to get in touch with anyone after filing a claim.,0,545288810,1757635200000,Sent,Web Content,9,Billing,3693
Independent Agents,41,GUILLERMO,MOROS,456796800000,1,19760329,2974300,General Lines Agent,"[""Snellings Walters Insurance Agency""]","Life, Accident, Health & HMO",JACKSONVILLE,"[""NY""]",1,BACHELOR,M,RENT,546393109,SINGLE,3,1,MANAGER,32210,0,0,0,0,0,state,512616,57187,,885124,14.1,17,Promoter,Renewal process was effortless and rates remain very competitive.,10,546393109,1751328000000,Visited,Multichannel Initiative,0,,5868
Independent Agents,44,GERARDO,JARAMILLO,350438400000,1,21139353,3160671,Adjuster,"[""Reliance Partners""]",Adjuster - All Lines,El Paso,"[""MS""]",1,MASTER,F,OWN,605372009,SINGLE,0,3,CONSULTANT,79932,1,1,0,0,0,state,220598,59751,,1140884,12.1,1,Promoter,Policy benefits exceeded my expectations and premiums are reasonable.,9,605372009,1735084800000,Visited,Paid Social,0,,5710
Independent Agents,41,FARIS,HUSSEIN,451785600000,1,20981847,3093567,General Lines Agent,"[""Acrisure LLC""]",Property and Casualty,HOUSTON,"[""CA"",""NY"",""MA""]",3,BACHELOR,F,MORTGAGE,627177212,SINGLE,3,3,AGENT,77057,0,1,1,0,0,state,585130,27203,1,0,17.2,6,Detractor,Premiums keep rising while support is unresponsive.,1,627177212,1690848000000,Attended,Web Content,0,,3567
Independent Agents,65,CHRISTINA,FAUCI,-303004800000,1,21115112,3156342,Adjuster,"[""Trucordia""]",Adjuster - P&C,DALLAS,"[""TX"",""WV""]",2,ASSOCIATE,F,OWN,667013035,WIDOWED,1,0,SERVICE,752660042,0,1,1,1,0,state,911107,81588,1,8016540,4.4,6,Detractor,Cover for critical illness isn't what was promised on the brochure.,3,667013035,1746835200000,Sent,Referral,6,Website,3432
Independent Agents,25,TIMOTHY,GOLDEN,943228800000,1,21282583,3214706,General Lines Agent,"[""Trucordia""]","Life, Accident, Health & HMO",EL PASO,"[""AK""]",1,BACHELOR,M,OWN,671304153,MARRIED,1,4,SERVICE,79912,0,0,1,0,0,state,315255,34710,,1815110,5.3,14,Promoter,Quick reimbursement for dental claims last month.,9,671304153,1745366400000,Visited,Referral,12,Service,5831
Emerging Experts,43,TAMMY,SHILLINGBURG,392428800000,1,18672552,2763393,General Lines Agent,"[""Inszone Insurance""]",Property and Casualty,TUCSON,"[""LA"",""NJ""]",2,MASTER,M,OWN,707779205,MARRIED,0,4,CONSULTANT,857123907,0,0,1,1,1,state,536862,57667,,28008259,8.6,13,Passive,"Customer support is helpful sometimes, slow to respond other times.",7,707779205,1597795200000,Registered,Web Content,5,Billing,5011
Accomplished Professionals,52,TONYA,GRUBBS,103161600000,1,8898493,2976162,Adjuster,"[""Associated Insurance Management LLC""]",Adjuster - All Lines,BRANDON,"[""AK""]",1,BACHELOR,F,RENT,837495715,MARRIED,0,0,SERVICE,390426500,0,0,1,0,1,state,124756,36494,1,0,14.2,9,Passive,Rep was rude and unhelpful when I called for assistance.,6,837495715,1642291200000,Visited,Search,0,,4689
Emerging Experts,47,RAVI,POLAMARASETTY,242179200000,1,21153687,3173527,Life Agent,"[""Acrisure LLC""]",Life Agent/Agency,SCHAUMBURG,"[""NE""]",1,MASTER,F,OWN,983815774,SINGLE,1,4,ADJUSTER,60193,1,1,0,0,1,state,644551,50481,,3379656,18.1,2,Promoter,Policy benefits exceeded my expectations and premiums are reasonable.,10,983815774,1615420800000,Visited,Web Content,2,Billing,6074
Accomplished Professionals,56,SHARON,WILLIAMSON,-32918400000,1,20536807,2969074,General Lines Agent,"[""The Mahoney Group""]","Life, Accident, Health & HMO",CEDAR HILL,"[""MT""]",1,HIGH_SCHOOL,M,OTHER,994582514,MARRIED,0,4,BROKER,75104,0,1,1,0,1,state,254058,36300,1,0,18,6,Detractor,Claims process is tedious and paperwork-heavy.,3,994582514,1703376000000,Sent,Email Nurture,3,Sales,3958
Independent Agents,49,MANJIT,SINGH,208828800000,1,8748750,2439656,General Lines Agent,"[""INSURICA Insurance Services LLC""]",Property and Casualty,INDIANAPOLIS,"[""ME"",""NM"",""FL""]",3,MASTER,F,OWN,1044411702,WIDOWED,2,2,ADJUSTER,462378658,0,1,0,0,0,state,923756,63151,1,940811,13.4,3,Passive,Difficult to get in touch with anyone after filing a claim.,6,1044411702,1635724800000,Registered,Search,6,Service,5365
Independent Agents,28,JUAN,PADILLA,871862400000,1,21360628,3256029,General Lines Agent,"[""Rate Insurance LLC""]","Life, Accident, Health & HMO",CHICAGO,"[""CT"",""NY""]",2,MASTER,F,OWN,1057144998,WIDOWED,1,3,BROKER,60652,0,0,1,0,0,state,982231,96473,1,39460563,13.6,6,Detractor,Customer service lines are always busy and staff rarely follow up.,4,1057144998,1548115200000,Visited,Web Content,7,Claims,3669
Independent Agents,25,ISVEL,RODRIGUEZ,940204800000,1,16692065,2463537,Adjuster,"[""Reliance Partners""]",Adjuster - All Lines,MAYFIELD VILLAGE,"[""FL"",""IN"",""WI""]",3,DOCTORATE,M,OTHER,1057519339,MARRIED,0,4,AGENT,441431589,0,1,0,0,1,state,498306,33965,,5970146,20.6,8,Promoter,Excellent accident coverage for the entire family – claims paid without hassle.,10,1057519339,1761350400000,Sent,Search,9,Claims,6172
Independent Agents,28,SPENCER,THOMPSON,859420800000,1,16615010,1758188,General Lines Agent,"[""The Mahoney Group""]","Life, Accident, Health & HMO",FORT WORTH,"[""NH"",""AK""]",2,ASSOCIATE,M,OWN,1194493642,DIVORCED,2,2,SERVICE,761074835,0,1,1,0,1,state,554215,53859,,1805885,11.8,8,Promoter,Helpful and caring representatives made sure I chose the right plan.,10,1194493642,1685750400000,Clicked,Email Nurture,0,,6006
Independent Agents,57,ROBERT,DECLERCQ,-72230400000,1,18044875,2722533,General Lines Agent,"[""Home Services Insurance""]","Life, Accident, Health & HMO",GROSSE POINTE PARK,"[""NC"",""NJ"",""MD"",""WV""]",4,MASTER,M,RENT,1198497376,DIVORCED,3,3,ADJUSTER,482301410,1,1,0,0,0,state,170044,10118,,2169716,12.7,13,Passive,"Call hold times are sometimes long, but reps polite.",8,1198497376,1664064000000,Sent,Referral,0,,8956
Independent Agents,25,SHANICE,PEGUES,948412800000,1,16843445,1972995,General Lines Agent,"[""Atlas Insurance Brokers LLC""]","Life, Accident, Health & HMO",CHARLOTTE,"[""OK"",""KY"",""SD"",""IA""]",4,MASTER,F,RENT,1383069068,SINGLE,3,3,BROKER,282133970,0,1,1,0,0,state,885406,66637,,1528498,4.3,11,Passive,"My questions were answered, but agent was a bit formal.",8,1383069068,1708041600000,Clicked,Email Nurture,12,Claims,4306
Independent Agents,42,LINDA,BOND,425433600000,1,17680716,2022033,Adjuster - DHS Texas,"[""OVD Insurance""]",Adjuster - All Lines DHS TX,LONG VALLEY,"[""OK"",""UT""]",2,BACHELOR,F,OTHER,1503463414,WIDOWED,0,0,ADJUSTER,078533626,1,1,0,1,0,state,926781,52635,,4206275,7.7,8,Passive,"No clarity about policy renewal terms, led to missed coverage.",6,1503463414,1759449600000,Visited,Search,10,Billing,4322
Independent Agents,37,TAHIRIH,WIMBERLY,558921600000,1,17880078,3074993,Pers Lines Prop and Cas Agent,"[""Bowen, Miclette & Britt Insurance Agency LLC""]",Personal Lines Prop and Cas,MACON,"[""SD""]",1,DOCTORATE,M,OTHER,1523643115,DIVORCED,1,0,SERVICE,312950001,1,0,1,0,1,state,625113,88344,,48400688,6.3,3,Passive,Standard coverage with industry average benefits.,7,1523643115,1660262400000,Visited,Web Content,12,Website,4350
Independent Agents,58,STEPHEN,BROWNING,-83548800000,1,7855901,2473073,General Lines Agent,"[""World Insurance Associates LLC""]",Property and Casualty,FORT WORTH,"[""MN""]",1,DOCTORATE,M,RENT,1542427466,SINGLE,0,0,SERVICE,761023525,1,1,0,0,0,state,131207,64592,,0,1.1,4,Detractor,Claims process is tedious and paperwork-heavy.,3,1542427466,1759017600000,Visited,Web Content,0,,4131
Independent Agents,56,NOELLE,DUNN,-19440000000,1,16626985,3301815,General Lines Agent,"[""Trucordia""]",Property and Casualty,AUSTIN,"[""CA"",""PA""]",2,MASTER,F,OTHER,1645802510,MARRIED,0,1,ADJUSTER,78702,0,1,0,0,0,state,812780,91710,,16862057,17.2,16,Promoter,Excellent accident coverage for the entire family – claims paid without hassle.,9,1645802510,1634774400000,Attended,Multichannel Initiative,7,Service,6507
Independent Agents,36,KATHY,ELLIS,602380800000,1,16789509,1787845,General Lines Agent,"[""Trucordia""]",Property and Casualty,ANAHUAC,"[""PA""]",1,MASTER,M,OWN,1669588675,MARRIED,2,3,MANAGER,775142596,1,1,1,0,0,state,495379,96534,,34272328,0.7,14,Passive,Received all my policy documents on time. Haven't faced issues so far.,7,1669588675,1561939200000,Attended,Web Content,7,Sales,4658
Independent Agents,64,KAREN,DAYLE,-277516800000,1,18345079,2169372,General Lines Agent,"[""Starkweather & Shepley Insurance Brokerage Inc.""]","Life, Accident, Health & HMO",CONVERSE,"[""WV"",""NH"",""NJ""]",3,BACHELOR,M,OTHER,1680252230,DIVORCED,1,0,CONSULTANT,78109,0,1,0,0,0,state,233729,93736,,9425120,10.4,13,Passive,"Renewal reminders are appreciated, but online portal is basic.",8,1680252230,1673827200000,Visited,Referral,9,Policy,4746
Emerging Experts,44,JACQUELINE,OLIVER,342316800000,1,8659289,2171867,Adjuster,"[""The Baldwin Group""]",Adjuster - P&C,SEAGOVILLE,"[""KS""]",1,BACHELOR,F,MORTGAGE,1684129038,DIVORCED,1,1,ADJUSTER,751591434,0,0,0,0,1,state,409856,86067,1,8490088,16.1,0,Passive,Signed up mainly because of a friend's recommendation. So far OK.,8,1684129038,1607299200000,Sent,Search,0,,7643
Independent Agents,55,SHADAVIA,BEASLEY,19699200000,1,18800364,2362444,General Lines Agent,"[""The Liberty Company Insurance Brokers""]","Life, Accident, Health & HMO",COLLIERVILLE,"[""TN"",""WY"",""CO"",""KS""]",4,MASTER,F,MORTGAGE,1699512846,MARRIED,1,4,BROKER,38017,0,0,0,0,1,state,884926,88170,1,4299635,17.2,4,Detractor,Rep was rude and unhelpful when I called for assistance.,0,1699512846,1651449600000,Visited,Web Content,0,,3635
Independent Agents,43,JOSEPH,SHOAF,398131200000,1,8101644,1757208,General Lines Agent,"[""Ross & Yerger Insurance""]",Property and Casualty,CHICAGO,"[""IA"",""OH"",""MO""]",3,BACHELOR,M,RENT,1701754100,SINGLE,1,2,AGENT,606613778,0,1,0,1,0,state,967760,36416,,1563557,19.5,6,Passive,Unexpected policy lapses due to hidden rules.,5,1701754100,1721520000000,Visited,Web Content,11,Policy,4139
Emerging Experts,45,ALIA,RORABAW,304819200000,1,19185045,2411188,General Lines Agent,"[""BancFirst Insurance Services Inc.""]",Property and Casualty,WICHITA FALLS,"[""OH"",""IA"",""AK""]",3,ASSOCIATE,M,RENT,1725961691,SINGLE,3,0,SERVICE,763024316,0,0,1,0,1,state,498717,93903,,25422367,8.9,0,Passive,Paid premium via bank transfer. Transaction was fine.,7,1725961691,1721174400000,Registered,Referral,2,Billing,4953
Independent Agents,66,JOHN,GLOVER,-336182400000,1,21569400,3326207,Adjuster - DHS Texas,"[""Starkweather & Shepley Insurance Brokerage Inc.""]",Adjuster - All Lines DHS TX,ENGLEWOOD,"[""TN"",""NJ""]",2,ASSOCIATE,M,OTHER,1737408905,SINGLE,0,4,ADJUSTER,80112,1,1,0,0,1,state,775754,19409,1,3489746,20.5,15,Promoter,Renewal process was effortless and rates remain very competitive.,9,1737408905,1726358400000,Sent,Email Nurture,0,,6322
Independent Agents,49,DAVID,RAND,198201600000,1,20846059,3063963,Adjuster,"[""Unison Risk Advisors""]",Adjuster - All Lines,HOUSTON,"[""KY"",""MS""]",2,DOCTORATE,M,OTHER,1756888568,MARRIED,0,4,MANAGER,77007,1,0,0,1,0,state,880374,52702,,517854,15.9,14,Passive,"Some policy wording is hard to understand, but got help when I called.",7,1756888568,1670803200000,Registered,Search,1,Service,4596
Comfortable retirees,61,JAMES,PURSER,-194486400000,1,16690543,1780643,General Lines Agent,"[""Sunstar Insurance Group""]","Life, Accident, Health & HMO",DRAPER,"[""IN"",""NY"",""MS"",""DC""]",4,HIGH_SCHOOL,M,OWN,1758510605,DIVORCED,3,3,BROKER,840206132,0,1,0,0,1,state,336855,24949,1,8100370,9.7,9,Detractor,Delays in claim settlement left me frustrated and disappointed.,4,1758510605,1629590400000,Clicked,Referral,7,Service,4404
Independent Agents,60,TODD,BAUMAN,-141436800000,1,3897155,1839728,General Lines Agent,"[""Insurance Office of America Inc.""]","Life, Accident, Health & HMO",ARLINGTON HEIGHTS,"[""RI"",""MO"",""LA""]",3,HIGH_SCHOOL,F,OWN,1759552254,SINGLE,3,4,AGENT,60004,1,0,1,1,1,state,214670,35156,,2304382,3.5,3,Passive,"My questions were answered, but agent was a bit formal.",8,1759552254,1714694400000,Clicked,Search,2,Billing,4233
Independent Agents,27,DAVID,VENTE,881020800000,1,17034239,3033781,General Lines Agent,"[""Kapnick Insurance Group""]","Life, Accident, Health & HMO",TAMPA,"[""NE"",""MD"",""PA"",""NY""]",4,MASTER,F,OWN,1770438417,MARRIED,3,3,ADJUSTER,336298964,0,1,0,1,1,state,605045,31217,1,23395705,5.2,1,Promoter,The online support chat is responsive and helped me update my beneficiaries in minutes.,9,1770438417,1691020800000,Visited,Multichannel Initiative,0,,5847
Independent Agents,40,BURNEN,BEN,462326400000,1,20399179,3155985,Life Agent,"[""Relation Insurance Inc.""]",Life Agent/Agency,LONG BEACH,"[""AL"",""FL"",""MI""]",3,ASSOCIATE,F,OTHER,1778917626,DIVORCED,0,0,MANAGER,90813,0,0,1,1,1,state,736246,86223,,9841145,8.5,9,Passive,Denied my hospitalization claim without sufficient reason.,6,1778917626,1699574400000,Visited,Paid Social,0,,4798
Independent Agents,37,JON,ENRIQUEZ,585360000000,1,10167389,3290336,Life Agent,"[""The MJ Companies""]",Life Agent/Agency,CHATSWORTH,"[""MN"",""LA"",""AZ""]",3,BACHELOR,F,OTHER,1780257790,DIVORCED,0,2,MANAGER,91311,0,1,0,1,1,state,583700,99743,,6433143,4.4,6,Passive,Neither dissatisfied nor excited about my experience.,8,1780257790,1645401600000,Clicked,Web Content,0,,4331
Independent Agents,48,THERESA,GARCIA,209692800000,1,19820897,2637407,General Lines Agent,"[""Oakbridge Insurance Agency LLC""]",Property and Casualty,PASADENA,"[""MN"",""WI"",""NM"",""SD""]",4,MASTER,F,OTHER,1825088361,DIVORCED,3,2,ADJUSTER,77503,1,0,1,0,0,state,245853,72742,1,7824139,8,6,Passive,"App works, but I'd like to see more features added.",8,1825088361,1756166400000,Visited,Web Content,9,Policy,4770
Independent Agents,59,XUAN,NGUYEN,-112492800000,1,21416838,3273329,Life Agent,"[""Energy Insurance Agency""]",Life Agent/Agency,HOUSTON,"[""OK"",""CT"",""NC"",""IN""]",4,BACHELOR,F,RENT,1834883438,SINGLE,1,0,BROKER,77070,1,0,0,1,1,state,680003,95577,1,0,6.2,3,Passive,"Customer support is helpful sometimes, slow to respond other times.",7,1834883438,1706054400000,Visited,Email Non Nurture,2,Sales,4431
Independent Agents,55,XUAN,NGUYEN,19872000000,1,21001352,3148722,Life Agent,"[""Hylant""]",Life Agent/Agency,SPRINGFIELD,"[""AK"",""SC"",""OH""]",3,BACHELOR,F,RENT,1834883438,SINGLE,1,0,BROKER,97477,1,0,0,1,1,state,959574,43796,,0,19.9,3,Passive,"Customer support is helpful sometimes, slow to respond other times.",7,1834883438,1706054400000,Visited,Email Non Nurture,2,Sales,4264
Independent Agents,28,RACHAEL,BOLAND,841449600000,1,20452247,2892573,General Lines Agent,"[""The Daniel and Henry Company""]","Life, Accident, Health & HMO",MONTGOMERY,"[""NV"",""WY"",""MO"",""WI""]",4,DOCTORATE,M,RENT,1848047532,DIVORCED,1,1,ADJUSTER,773569039,0,1,0,0,1,state,421675,91438,,0,13,19,Promoter,They proactively offered extra riders for critical illness without upselling.,9,1848047532,1591228800000,Visited,Paid Social,6,Website,6583
Emerging Experts,43,RACHEL,ANANE,382838400000,1,20196621,2783810,Life Agent,"[""AIS Insurance""]",Life Agent/Agency,WICHITA FALLS,"[""ME"",""NE""]",2,ASSOCIATE,F,MORTGAGE,1910288274,SINGLE,1,2,CONSULTANT,76302,1,1,0,1,1,state,690244,55726,1,9304622,6.7,6,Passive,"Policy purchase was smooth, but I haven't needed to claim yet.",8,1910288274,1577404800000,Visited,Multichannel Initiative,0,,4521
Emerging Experts,45,CHRISTIE,SCOTT,324345600000,1,21517401,3307047,General Lines Agent,"[""King Risk Partners""]","Life, Accident, Health & HMO",KILLEEN,"[""TX"",""IA"",""MT""]",3,HIGH_SCHOOL,M,MORTGAGE,1938399067,WIDOWED,3,0,MANAGER,765426658,1,1,1,0,1,state,636246,35518,,1635737,8.2,14,Passive,"Decent options for add-ons, though plan features could be clearer.",7,1938399067,1702166400000,Sent,Paid Social,12,Website,8420
Independent Agents,40,HEATHER,WHEELINGTON,489196800000,1,14803643,3196967,Life Agent,"[""Lockton""]",Life Agent/Agency,TEXARKANA,"[""WA"",""VA"",""IL"",""UT""]",4,MASTER,M,MORTGAGE,1957130327,MARRIED,3,1,AGENT,755034675,0,1,0,0,0,state,200090,38765,,4224017,4.9,16,Promoter,Their COVID-19 coverage is extensive and provided me peace of mind.,9,1957130327,1720742400000,Sent,Search,0,,6372
Independent Agents,37,CHARLES,BAGGETT,579139200000,1,17875358,3032838,Adjuster,"[""Florida One Insurance Agency""]",Adjuster - All Lines,CRAWFORDVILLE,"[""ME""]",1,MASTER,F,OTHER,1988803475,WIDOWED,0,2,BROKER,32327,1,1,0,1,0,state,977494,62570,,7685100,8.3,0,Passive,Premiums increase without transparent explanations each year.,6,1988803475,1653523200000,Clicked,Event,1,Website,4032
Independent Agents,46,DYLAN,NELSON,302227200000,1,19870484,2662759,General Lines Agent,"[""James G Parker Insurance Associates""]",Property and Casualty,COLLEYVILLE,"[""MN""]",1,ASSOCIATE,M,OTHER,1989209915,SINGLE,1,3,SERVICE,760345545,1,1,1,1,0,state,855702,29258,,47907741,7.1,15,Promoter,"The policy covers all my needs, and I appreciate the transparent communication.",10,1989209915,1761523200000,Visited,Web Content,0,,5687
Independent Agents,37,LEA,RODRIGUEZ,586051200000,1,21094571,3141674,General Lines Agent,"[""Frost Insurance Agency""]","Life, Accident, Health & HMO",AUBREY,"[""IL""]",1,BACHELOR,F,OWN,2042606658,SINGLE,3,4,BROKER,76227,0,1,0,0,1,state,275561,47862,1,1687468,8.2,6,Detractor,My request to update beneficiaries took weeks to process.,0,2042606658,1623196800000,Visited,Direct Mail,5,Service,7471
Independent Agents,61,DANIELA,PACHECO,-171676800000,1,19333422,3196293,Pre-Need Agent,"[""Unison Risk Advisors""]",Pre-Need,MCALLEN,"[""GA""]",1,MASTER,M,RENT,2085444659,SINGLE,1,3,BROKER,785013525,0,0,0,0,0,state,961092,59222,,0,10.3,4,Passive,Paid premium via bank transfer. Transaction was fine.,8,2085444659,1698969600000,Sent,Multichannel Initiative,0,,4690
