NPN,LICENSE_NUMBER,NAME,LICENSE_TYPE,QUALIFICATION,ISSUE_DATE,EXPIRATION_DATE,CITY,STATE,POSTAL_CODE,PROVINCE,HOME_STATE,REPCRD,BDFIRMCRD,BROKERDEALER_NAME,GENDER,INSURANCE_LICENSE_FLAG,AGENT_EMAIL_VALIDATION_FLAG,INDEPENDENT_CONTRACTOR_FLAG,SELING_AGENT_FLAG,FIRM_ASSOCIATED,AGENT_DOB,SE2_HIRE_DATE,AUM_SELFREPORTED,RETIREMENT_PROD_SELLER,BRANCH_TYPE,STATE_REGISTERED,FIRST_POLICY_SOLD,AGENT_TENURE,PRIOR_FIRM_CRD,PRIOR_FIRM_LAST_DATE,PRIOR_FIRM_START_DATE
711034,2211525,LORNE ADRAIN,Life Agent,Life Agent/Agency,1502323200000,2027-01-31,WARWICK,RI,028896519,null,GA,538591,45835,Tompkins Insurance Agencies Inc.,M,1,1,,1,1,323654400000,1645833600000,0,,Independent,"GA,OH",1658534400000,3.5,null,null,null
21426645,3291390,ALEKSANDER LULGJURAJ,General Lines Agent,"Life, Accident, Health & HMO",1738713600000,2027-08-31,ROCHESTER,MI,48306,null,WI,282178,23275,The Plastridge Agency Inc.,F,1,1,,1,1,838339200000,1240099200000,4160928,1,Independent,WI,1243209600000,16.3,96674,2006-04-23,2000-03-07
20164064,3204878,KEVIN TAYLOR,Adjuster,Adjuster - All Lines,1721606400000,2026-08-31,PRINCETON,TX,75407,null,NE,992157,72842,C3 Risk & Insurance,M,1,1,1,,,827798400000,1227225600000,2699455,1,Wirehouse,"NE,GA,LA",1227916800000,16.7,81090,2004-05-14,1998-09-09
16743159,1778928,DIANE WITTLIFF,General Lines Agent,Property and Casualty,1343952000000,2027-08-31,ROUND ROCK,TX,786652938,null,WA,302957,76188,Leavitt Group,M,1,1,,1,1,454377600000,1642982400000,6971157,1,Regional,"WA,IL,VA,CA",1658188800000,3.6,79135,2017-04-27,2010-08-06
20704849,3001189,LATISHA PAGE,Adjuster,Adjuster - All Lines,1683158400000,2025-09-30,FRISCO,TX,75035,null,CA,987312,24707,Rich & Cartmill Inc.,F,,1,,1,1,46224000000,1575244800000,4567019,1,Independent,"CA,SC,ID",1588291200000,5.7,21706,2016-10-31,2012-10-01
578744,1340962,CHARLES NIELSON,General Lines Agent,Property and Casualty,1123027200000,2025-12-31,MIAMI LAKES,FL,330165810,null,WI,117793,68000,CCIG,F,1,1,,,1,469584000000,1370995200000,5267470,,Independent,"WI,KS,GA",1381536000000,12.2,13006,2010-07-30,2004-03-02
21375289,3267360,AMANDA HEINE,General Lines Agent,"Life, Accident, Health & HMO",1733097600000,2026-11-30,JANESVILLE,WI,53546,null,ND,620038,17002,TrueNorth,M,1,1,1,1,1,619315200000,1712534400000,0,,Wirehouse,"ND,AZ",1723075200000,1.4,null,null,null
375975,1019555,JAMES GABERINO,General Lines Agent,"Life, Accident, Health & HMO",364780800000,2027-12-31,DALLAS,TX,75205,null,SD,752962,27679,Alliant Insurance Services/Confie,M,1,1,,1,1,333072000000,1435968000000,31743067,1,Independent,"SD,MI,VA,LA",1450656000000,10.1,31706,2011-10-15,2008-02-19
20384096,3239793,RYAN STABILE,General Lines Agent,Property and Casualty,1727654400000,2026-12-31,WEST PALM BEACH,FL,334051596,null,MA,781559,17184,R&R Insurance Services Inc.,F,1,1,,1,1,314236800000,1432080000000,5374398,,Independent,"MA,NJ,NY",1444003200000,10.2,null,null,null
64518,751917,ERIC WALTON,General Lines Agent,Property and Casualty,930787200000,2026-02-28,JACKSON,MI,492033609,null,UT,471034,79530,Robertson Ryan Insurance,M,1,1,,,1,-220752000000,1305590400000,246509267,1,Independent,"UT,MO,OR,ID",1309046400000,14.3,null,null,null
8672493,1363999,ALMA ORTEGA,General Lines Agent,Property and Casualty,1134691200000,2027-09-30,EL PASO,TX,79928,null,IA,722273,74588,Rate Insurance LLC,M,1,1,,1,,175305600000,1366070400000,105421141,1,Regional,"IA,HI",1373328000000,12.3,null,null,null
21605547,3345083,MARIANO FRIAS,General Lines Agent,"Life, Accident, Health & HMO",1749081600000,2027-05-31,NATIONAL CITY,CA,91950,null,NC,993172,49346,Moody Insurance Agency Inc.,M,1,1,1,1,,806457600000,1398902400000,8737009,1,Wirehouse,"NC,VT,MS",1413417600000,11.3,57021,2009-12-04,2006-06-12
1309003,914601,JOHN O DIX JR,General Lines Agent,"Life, Accident, Health & HMO",845337600000,2027-09-30,DALLAS,TX,752012104,null,NY,152904,37813,Crest Insurance Group,F,1,1,1,,1,185328000000,1538956800000,0,,Independent,"NY,KY,WY",1547510400000,6.9,62363,2016-07-10,2011-09-25
7699125,3197736,JOSEPH PALATKA,General Lines Agent,"Life, Accident, Health & HMO",1720137600000,2026-12-31,SUGAR LAND,TX,77478,null,AZ,992339,28205,EPIC Insurance Brokers & Consultants,F,1,1,,1,1,597283200000,1185926400000,9883313,1,Wirehouse,"AZ,VA,NJ",1187568000000,18,63273,2003-03-06,1995-12-03
20569474,3295822,LILIAN EMETU,Life Agent,Life Agent/Agency,1739577600000,2027-10-31,BLYTHEWOOD,SC,29016,null,VA,888710,65877,Shepherd Insurance,F,1,1,,1,1,389404800000,1466035200000,0,,Independent,"VA,TN",1479168000000,9.2,60004,2014-07-08,2012-03-05
20157958,3311276,KARLA RONQUILLO-LUNA,Life Agent,Life Agent/Agency,1742515200000,2027-02-28,SAN JOSE,CA,95123,null,PA,593425,95278,King Risk Partners,F,1,1,,1,1,778204800000,1620172800000,36530039,1,Wirehouse,PA,1631232000000,4.3,null,null,null
1199391,806231,LYNDA TILLERY,General Lines Agent,Property and Casualty,791251200000,2026-11-30,SAN ANTONIO,TX,782171832,null,MI,859271,13729,Patriot Growth Insurance Services LLC,M,1,1,1,1,1,78969600000,1671580800000,2763487,1,Independent,"MI,LA",1677542400000,2.7,30007,2021-12-03,2019-12-06
19855083,2651948,WILLIE WILLIAMS,Pers Lines Prop and Cas Agent,Personal Lines Prop and Cas,1617321600000,2025-07-31,POLK CITY,FL,338686026,null,MO,439929,19784,Highstreet Insurance Partners,F,,1,1,1,1,340675200000,1553299200000,5220089,,Independent,MO,1557532800000,6.4,null,null,null
1114617,703603,JOE HARDEE,General Lines Agent,"Life, Accident, Health & HMO",564364800000,2026-10-31,NEW YORK,NY,10022,null,LA,328298,21668,Cross Insurance,M,1,1,1,1,1,-338515200000,1530489600000,1894781,,Independent,"LA,NM,CT",1532822400000,7.1,72439,2016-10-07,2011-04-20
8061386,1910293,DEDRIC MARTINEZ,Life Agent,Life Agent/Agency,1398211200000,2026-11-30,WESTMINSTER,CO,802342708,null,AK,833874,83158,Signers National LLC,M,1,1,1,1,1,37152000000,1498953600000,0,,Regional,"AK,MT,FL",1509494400000,8.1,null,null,null
21112255,3151692,APEKSH DESAI,General Lines Agent,"Life, Accident, Health & HMO",1711065600000,2026-08-31,DUBLIN,OH,43016,null,OR,824572,99303,TrueNorth,F,1,1,,1,,105062400000,1353283200000,6012228,,Independent,"OR,NV",1368748800000,12.7,null,null,null
6852899,1210653,E MCCARTY,General Lines Agent,"Life, Accident, Health & HMO",1042502400000,2027-06-30,PLANO,TX,750934907,null,NY,742964,25883,Paramount Exclusive Insurance Services Inc.,M,1,1,,1,1,152755200000,1207008000000,8527338,,Wirehouse,NY,1218326400000,17.4,46158,2002-12-02,1995-09-21
21529492,3311370,RAUL MAMMADOV,Life Agent,Life Agent/Agency,1742515200000,2027-08-31,CYPRESS,TX,77433,null,TX,548283,52038,Moreton & Company,F,1,1,1,1,1,898214400000,1521590400000,0,,Wirehouse,"TX,ID,TN,IN",1531699200000,7.4,77012,2015-03-07,2013-09-03
4753618,2051255,DAVID BURCH,General Lines Agent,"Life, Accident, Health & HMO",1449100800000,2026-03-31,LAFAYETTE,LA,705085627,null,ME,907752,54090,Associated Insurance Management LLC,F,1,1,,,1,809395200000,1470182400000,3074257,1,Regional,"ME,OH,NC,AL",1474848000000,9,85164,2014-11-10,2007-05-07
21476884,3321268,COREY SCOTT,General Lines Agent,"Life, Accident, Health & HMO",1744588800000,2027-11-30,HELENA,AL,35022,null,MA,907981,30805,Leavitt Group,M,1,1,1,,1,515289600000,1264204800000,9093879,,Independent,"MA,MS",1271635200000,15.6,37758,2008-07-12,2004-02-12
16154292,1672225,WEI BAHLMAN,Life Agent,Life Agent/Agency,1297987200000,2025-11-30,MCKINNEY,TX,75070,null,KY,422379,64466,Oakbridge Insurance Agency LLC,M,1,1,1,1,1,-309916800000,1192406400000,1756029,1,Wirehouse,"KY,MO,PA,DE",1192838400000,17.8,83606,2005-09-17,1998-05-05
16290225,1853390,GINA HANESS,Adjuster,Adjuster - All Lines,1379376000000,2026-09-30,HUBERTUS,WI,530339480,null,NH,169496,65929,Moreton & Company,M,1,1,,1,1,551318400000,1357516800000,0,,Regional,NH,1369872000000,12.6,null,null,null
8176074,2539552,KENNETH CANTOR,General Lines Agent,Property and Casualty,1594252800000,2026-05-31,WEST BLOOMFIELD,MI,483233138,null,OR,582148,81019,Frost Insurance Agency,M,,1,,1,1,-294451200000,1299369600000,6277799,,Wirehouse,OR,1309046400000,14.4,null,null,null
8397707,2320356,CHRISTIE MARTIN,Adjuster - DHS Texas,Adjuster - P&C DHS TX,1532908800000,2026-11-30,TAMPA,FL,336195178,null,RI,407455,99473,World Insurance Associates LLC,M,1,1,,1,1,498441600000,1618444800000,0,,Regional,"RI,OK,TN",1633737600000,4.3,null,null,null
17207022,2208344,MICHAEL WADE,Adjuster,Adjuster - P&C,1501200000000,2025-10-31,COLUMBUS,OH,432152226,null,KS,837476,92659,Keystone Agency Partners LLC,F,1,1,,1,1,749606400000,1661990400000,7792693,,Independent,"KS,IL,MI",1664323200000,3,null,null,null
255519,1921620,BRIAN LAWLOR,Surplus Lines Agent,NONE,1403136000000,2026-02-28,WARWICK,RI,028860655,null,TX,685777,33148,King Risk Partners,F,1,1,,1,1,158716800000,1715040000000,6497982,1,Wirehouse,TX,1728777600000,1.3,86818,2020-04-25,2018-07-10
21477611,3294928,JOVANY MENDEZ SALAZAR,Life Agent,Life Agent/Agency,1739404800000,2027-07-31,AUSTIN,TX,78744,null,CA,137032,97760,King Risk Partners,F,1,1,,1,1,-347846400000,1360108800000,4989919,,Wirehouse,"CA,MS,MI,IL",1371945600000,12.5,31417,2008-10-09,2001-01-18
20087173,2748235,TAMMY THOMAS,Adjuster,Adjuster - All Lines,1634083200000,2027-08-31,FRISCO,TX,750340489,null,MN,823111,69559,Trucordia,F,1,1,1,1,,934416000000,1220918400000,9173759,1,Independent,MN,1232064000000,16.9,57323,2007-04-10,2003-01-22
17353464,2025644,BRIAN DAVIS,General Lines Agent,Property and Casualty,1440201600000,2026-01-31,ALBUQUERQUE,NM,871132543,null,PA,506021,65976,Rich & Cartmill Inc.,M,1,1,,1,,807321600000,1593388800000,1574061,1,Independent,"PA,TN,NC",1594339200000,5.1,47134,2018-04-05,2016-11-15
3246161,526378,JENNIFER SALINAS,General Lines Agent,Property and Casualty,1015372800000,2026-03-31,HOUSTON,TX,770292329,null,NY,270115,37481,Sterling Seacrest Pritchard,M,1,1,1,,1,863568000000,1175472000000,9126137,,Independent,NY,1190246400000,18.4,52973,2003-02-20,2001-04-01
19403853,2485738,MONIQUE PAGE,General Lines Agent,"Life, Accident, Health & HMO",1579651200000,2026-11-30,HOUSTON,TX,77073,null,AK,427559,60717,Energy Insurance Agency,M,,,,,1,-138412800000,1668470400000,1234871,,Regional,"AK,HI",1678924800000,2.8,null,null,null
892094,2678942,KIRK SACKETT,General Lines Agent,"Life, Accident, Health & HMO",1622764800000,2025-12-31,BELTON,MO,640125410,null,NJ,223669,54161,Unison Risk Advisors,M,1,1,,1,1,166492800000,1661299200000,7289916,,Wirehouse,"NJ,WY,VA,FL",1663718400000,3,null,null,null
20325197,2846179,BRIAN HAYES,General Lines Agent,"Life, Accident, Health & HMO",1653696000000,2026-07-31,MARCELLUS,NY,13108,null,VT,563373,97179,Kaplansky Insurance,M,1,1,1,1,1,47606400000,1540166400000,5234817,,Wirehouse,"VT,MO,NJ",1548979200000,6.8,null,null,null
21615798,3361213,TANYA BATES,General Lines Agent,"Life, Accident, Health & HMO",1752192000000,2027-08-31,ROCKFORD,IL,61101,null,WY,481111,84581,JMG,M,,1,1,1,1,258249600000,1354492800000,38144132,1,Wirehouse,"WY,AL,SC,VA",1365897600000,12.7,null,null,null
90707,3143676,TERI REYNOLDS,Adjuster,Adjuster - All Lines,1709683200000,2026-01-31,COLFAX,IL,61728,null,WA,204224,66976,King Risk Partners,M,1,1,,1,,90547200000,1248307200000,8759626,,Independent,WA,1249689600000,16.1,23520,2005-11-22,1999-04-20
2489654,974707,JOHN BOYLE,General Lines Agent,"Life, Accident, Health & HMO",924825600000,2025-09-30,WIMBERLEY,TX,786765524,null,MO,352176,41670,Inszone Insurance,F,1,1,,1,1,-20476800000,1598745600000,1710553,,Regional,MO,1611878400000,5,null,null,null
18504035,3028363,FRANK GONZALEZ PENA,General Lines Agent,"Life, Accident, Health & HMO",1688083200000,2027-02-28,HIALEAH,FL,330164734,null,CO,731185,69718,IMA,M,1,1,1,1,1,705369600000,1533600000000,8844236,1,Independent,"CO,MN",1539388800000,7,24229,2017-12-18,2013-03-17
20738667,3015371,CHARLOTTE LEWIS,Adjuster,Adjuster - All Lines,1685923200000,2025-06-30,COPPERAS COVE,TX,765223318,null,FL,374459,44166,USI Insurance Services,M,1,,1,1,1,62121600000,1335398400000,41003089,1,Wirehouse,FL,1346544000000,13.3,86211,2009-06-11,2005-08-22
7234471,1352117,JUSTIN STONE,Limited Lines Agent,Limited Lines,1128902400000,2026-01-31,TUSCOLA,TX,795623911,null,VT,799849,88800,Hausmann Group,M,1,1,,1,1,321408000000,1131753600000,2829592,,Independent,VT,1143849600000,19.8,12880,2001-03-25,1998-03-29
17233385,2828021,JOHN MOORE,General Lines Agent,"Life, Accident, Health & HMO",1650240000000,2026-07-31,SAINT LOUIS,MO,63115,null,WI,782419,98729,Towne Insurance,F,1,1,,,1,494208000000,1158969600000,38723311,1,Regional,"WI,NJ",1173657600000,18.9,null,null,null
20984885,3095116,JULISSA DIAZ,General Lines Agent,"Life, Accident, Health & HMO",1699315200000,2025-12-31,MCALLEN,TX,78501,null,VA,555827,92068,OneDigital,M,1,1,1,,1,846201600000,1418688000000,3666715,,Independent,"VA,HI,UT,ME",1419379200000,10.7,null,null,null
21616566,3346368,ABBIGAIL HOOKER,General Lines Agent,"Life, Accident, Health & HMO",1749427200000,2027-08-31,FLINT,TX,75762,null,LA,107689,50856,Trucordia,M,1,1,1,1,1,-84585600000,1133740800000,4028773,1,Independent,"LA,MO,OR,WV",1142467200000,19.7,94549,2001-03-09,1999-05-06
8949259,2848343,CALLI JOHNSON,General Lines Agent,Property and Casualty,1654214400000,2026-07-31,NEWPORT,AR,72112,null,LA,813495,79894,Sunstar Insurance Group,F,1,1,,,1,-249004800000,1605484800000,0,,Wirehouse,LA,1608595200000,4.7,21084,2020-03-12,2013-10-25
20799570,3041388,JASMINE SMART,Adjuster,Adjuster - All Lines,1690416000000,2025-06-30,EULESS,TX,76040,null,ME,373950,85181,The Plastridge Agency Inc.,F,1,1,,1,1,283824000000,1260576000000,16079671,1,Wirehouse,ME,1270512000000,15.7,null,null,null
20741618,3016964,GARRETT DUDLEY,General Lines Agent,"Life, Accident, Health & HMO",1686096000000,2025-10-31,HOUSTON,TX,77079,null,WY,980826,46459,CAC Group,M,,,1,1,1,-132796800000,1670198400000,5584253,1,Independent,"WY,SD",1677456000000,2.7,null,null,null
1059038,2667137,MICHELLE MORGAN,General Lines Agent,"Life, Accident, Health & HMO",1620345600000,2027-05-31,WHITEHOUSE,TX,75791,null,IL,746912,45321,Ross & Yerger Insurance,M,1,1,1,1,1,-97718400000,1248998400000,0,,Wirehouse,"IL,NJ,NY,AZ",1254528000000,16,null,null,null
2925610,1171580,JAMES HILL,General Lines Agent,"Life, Accident, Health & HMO",1016496000000,2026-12-31,GARDEN CITY,KS,678465444,null,OH,259810,10756,Relation Insurance Inc.,F,1,1,,,1,398476800000,1189036800000,7427894,,Wirehouse,"OH,DE",1200960000000,17.9,null,null,null
17922609,2590151,ROBERT JOHNSON,General Lines Agent,"Life, Accident, Health & HMO",1603670400000,2026-02-28,NORWICH,VT,05055,null,GA,360876,12392,Alliant Insurance Services/Confie,M,1,1,1,1,1,533260800000,1734998400000,4109483,1,Bank,"GA,MT,ME,IL",1748390400000,0.6,34528,2024-05-05,2021-05-17
16786367,1985231,TRACI OCONNOR,General Lines Agent,"Life, Accident, Health & HMO",1425859200000,2027-05-31,KANSAS CITY,MO,641191282,null,NE,291064,47218,The MJ Companies,M,1,1,,1,1,784684800000,1430956800000,4315995,,Regional,"NE,OH,LA,CO",1444003200000,10.3,50741,2010-11-06,2007-03-12
21136619,3159290,MEGHAN FLAHERTY,Adjuster,Adjuster - All Lines,1712707200000,2026-01-31,ALLEN,TX,75002,null,ID,329554,17190,Turner Surety & Insurance Brokerage,F,1,,,,1,835920000000,1182038400000,0,,Wirehouse,ID,1186012800000,18.2,62609,2005-06-27,1998-10-29
17156607,1880100,JENNIFER DEGEYTER,Escrow Officer,NONE,1192147200000,2026-07-31,BRIDGE CITY,TX,776113809,null,NE,446048,51113,Trucordia,M,1,1,,1,,508809600000,1506470400000,9668015,,Wirehouse,"NE,CT",1508457600000,7.9,51621,2015-01-14,2009-06-18
21344611,3241895,TY WEATHERLY,General Lines Agent,Property and Casualty,1728000000000,2026-04-30,DALLAS,TX,75204,null,NC,653635,26934,Atlas Insurance Agency,M,1,1,,,,-320284800000,1515024000000,4734812,,Wirehouse,"NC,NM,OK",1528934400000,7.6,null,null,null
15901867,1640316,DAVID GALLATIN,Adjuster,Adjuster - P&C,1282521600000,2027-03-31,OWASSO,OK,740557336,null,WY,203060,29445,Patriot Growth Insurance Services LLC,F,1,1,,,1,252028800000,1205193600000,2753533,,Wirehouse,WY,1219795200000,17.4,90942,2003-01-04,1998-04-29
16777235,1784748,KATHI PETE,Adjuster,Adjuster - All Lines,1346803200000,2027-05-31,IRVING,TX,750388064,null,FL,516832,74022,Superior Insurance Partners,M,1,1,,1,1,-118886400000,1730505600000,3571518,,Wirehouse,FL,1743638400000,0.8,60525,2020-07-22,2018-05-30
17993929,2101580,STEPHANIE UMANZOR-ALFARO,General Lines Agent,Property and Casualty,1466985600000,2026-03-31,HOUSTON,TX,77088,null,ID,753329,51841,Higginbotham,M,1,1,,1,1,204422400000,1703548800000,0,,Wirehouse,ID,1716336000000,1.6,null,null,null
41693,1460909,ELTON BRYAN,General Lines Agent,"Life, Accident, Health & HMO",1187308800000,2026-08-31,OAKLAND PARK,FL,33334,null,IN,833631,97895,Sihle Insurance Group Inc.,M,1,1,,,1,632793600000,1278460800000,25713391,1,Wirehouse,IN,1279411200000,15.1,null,null,null
1614796,1348065,JUDITH TURPIN,General Lines Agent,"Life, Accident, Health & HMO",1126742400000,2026-07-31,LAMAR,CO,810522939,null,LA,577062,76532,Buckner Company,F,,1,,1,1,609465600000,1551139200000,2070111,,Independent,LA,1555200000000,6.5,21629,2016-05-10,2008-12-26
21649366,3359781,ANGEL RODRIGUEZ ROMERO,General Lines Agent,"Life, Accident, Health & HMO",1752019200000,2027-08-31,PHARR,TX,78577,null,ND,660133,16264,Keystone Agency Partners LLC,M,1,1,1,,1,-213062400000,1589328000000,6447826,,Regional,"ND,VA,TN",1597449600000,5.3,null,null,null
20733338,3013201,KATHLEEN ANGLIN,Escrow Officer,NONE,1685491200000,2027-01-31,HAMILTON,TX,765310248,null,UT,877273,39141,Reliance Partners,M,1,1,,1,1,468892800000,1236384000000,9764848,1,Independent,UT,1247270400000,16.4,92905,2004-02-09,2002-10-25
20677823,3103316,FRANCISCO BORREGO,Life Agent,Life Agent/Agency,1701129600000,2025-12-31,LAS CRUCES,NM,88005,null,CO,811731,90846,Moody Insurance Agency Inc.,F,1,1,,1,1,153360000000,1183334400000,15213112,1,Regional,CO,1197676800000,18.1,65873,2002-12-23,2000-11-23
632684,2260395,ANTHONY SARAME,General Lines Agent,Property and Casualty,1516147200000,2026-09-30,JAMESTOWN,NC,27282,null,ND,224710,18495,Reliance Partners,M,,1,,1,1,656553600000,1571788800000,0,,Independent,ND,1576454400000,5.8,32979,2016-09-15,2010-03-11
13311400,1815884,BENITO BECERRA,General Lines Agent,"Life, Accident, Health & HMO",1362441600000,2025-11-30,GLENDALE,AZ,853011470,null,AR,300235,61497,Lawley Insurance,M,1,1,,1,1,524534400000,1202428800000,9161412,,Independent,AR,1204761600000,17.5,61611,2005-12-13,2000-08-26
7865474,1915576,MATTHEW MORASKI,General Lines Agent,"Life, Accident, Health & HMO",1400544000000,2026-12-31,ATLANTA,GA,303395946,null,TN,129252,58255,Inszone Insurance,M,1,1,,,1,-337824000000,1532736000000,7942953,,Independent,"TN,IL,AL,MA",1534636800000,7.1,null,null,null
19094096,2395677,FELICIA MEDLOW,General Lines Agent,"Life, Accident, Health & HMO",1554422400000,2027-01-31,SPRING,TX,773798739,null,WY,554869,25410,The Mahoney Group,F,1,1,1,1,1,487296000000,1368489600000,0,,Independent,WY,1374710400000,12.3,20863,2011-06-27,2003-10-28
3614987,1501470,KELLY SACKS,Adjuster,Adjuster - P&C,1209686400000,2025-09-30,BOCA RATON,FL,334868616,null,NV,806587,26299,OneDigital,M,1,1,,1,1,505699200000,1164585600000,1567591,1,Independent,"NV,TX,NJ",1175644800000,18.7,28272,2003-04-07,1996-11-09
8473606,1321037,GERARDO SOLIS,General Lines Agent,"Life, Accident, Health & HMO",1115769600000,2027-06-30,SAN ANTONIO,TX,782602189,null,MT,738415,37381,Lawley Insurance,M,,1,1,,1,624499200000,1374883200000,0,,Regional,MT,1376179200000,12.1,null,null,null
20374308,2860146,KATHERINE SMITH,Pers Lines Prop and Cas Agent,Personal Lines Prop and Cas,1656374400000,2026-01-31,SIOUX FALLS,SD,571071231,null,IL,190239,55966,Keystone Agency Partners LLC,F,,1,,1,1,485308800000,1641945600000,45628526,1,Wirehouse,"IL,IN",1646524800000,3.6,60620,2020-02-11,2016-07-21
18060703,2116343,LAURIE PENDLETON,General Lines Agent,"Life, Accident, Health & HMO",1470873600000,2026-04-30,FREEPORT,FL,34439,null,TX,980789,70272,The Mahoney Group,F,,1,,,1,455587200000,1571961600000,4368519,1,Independent,"TX,WY,MN,OK",1584921600000,5.8,null,null,null
19007060,3001536,MERITXELL VIVAR,General Lines Agent,"Life, Accident, Health & HMO",1683244800000,2027-01-31,MIAMI,FL,33177,null,AR,620139,50939,The MJ Companies,M,1,1,,1,1,700531200000,1328400000000,1159933,1,Independent,AR,1343865600000,13.5,null,null,null
17839506,2612351,JODI FLEISHER,Life Agent,Life Agent/Agency,1609113600000,2026-12-31,DENVER,CO,802021823,null,ND,557914,17114,Oakbridge Insurance Agency LLC,F,1,1,1,1,1,-92707200000,1311984000000,0,,Independent,"ND,MI,NY,OK",1326326400000,14,96491,2007-07-09,2002-02-26
19973059,3070755,TREVONTE THOMAS,Pers Lines Prop and Cas Agent,Personal Lines Prop and Cas,1695254400000,2027-05-31,WYLIE,TX,750987013,null,SC,949605,58676,Tompkins Insurance Agencies Inc.,M,1,1,,1,,-220752000000,1451001600000,0,,Independent,"SC,VA,NJ,TN",1455926400000,9.6,null,null,null
2061188,2640885,RICHARD A HARTMAN JR,Life Agent,Life Agent/Agency,1615334400000,2027-02-28,CONSHOHOCKEN,PA,194283813,null,PA,635965,64532,Hotchkiss Insurance,M,1,1,1,1,1,-66528000000,1675728000000,3216135,,Wirehouse,PA,1675814400000,2.5,59178,2017-09-24,2010-11-17
17314295,1926093,ROSE SHOOK,General Lines Agent,"Life, Accident, Health & HMO",1404864000000,2026-11-30,ROBINSON,TX,767067002,null,LA,148347,12317,OVD Insurance,F,1,1,,1,1,867110400000,1680307200000,2220964,,Independent,"LA,NJ,FL",1694217600000,2.4,26331,2018-02-09,2015-09-17
